A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V
97.38,0.201,0.331,0.315,0.285,0.383,0.325,0.274,0.332,0.632,0.301,0.104,0.177,0.197,0.201,0.138,0.134,0.135,0.138,0.126,0.101,Gopi
97.35,0.2,0.331,0.315,0.286,0.382,0.323,0.274,0.33,0.621,0.293,0.105,0.176,0.196,0.2,0.138,0.134,0.135,0.136,0.126,0.101,Gopi
97.21,0.2,0.327,0.31,0.281,0.377,0.32,0.27,0.331,0.627,0.298,0.104,0.178,0.197,0.2,0.137,0.133,0.133,0.133,0.124,0.1,Gopi
97.26,0.2,0.33,0.314,0.284,0.381,0.324,0.275,0.327,0.612,0.286,0.106,0.179,0.199,0.2,0.138,0.134,0.134,0.133,0.124,0.099,Gopi
97.27,0.204,0.331,0.315,0.285,0.383,0.327,0.275,0.333,0.632,0.3,0.105,0.181,0.2,0.204,0.138,0.134,0.134,0.134,0.124,0.101,Gopi
97.28,0.2,0.329,0.313,0.286,0.379,0.322,0.271,0.33,0.626,0.299,0.103,0.176,0.196,0.2,0.137,0.133,0.133,0.133,0.123,0.1,Gopi
97.23,0.2,0.327,0.312,0.283,0.378,0.322,0.275,0.324,0.61,0.286,0.106,0.177,0.195,0.2,0.138,0.133,0.133,0.133,0.124,0.099,Gopi
97.27,0.198,0.328,0.312,0.283,0.382,0.323,0.274,0.327,0.62,0.293,0.108,0.174,0.194,0.198,0.138,0.133,0.133,0.133,0.123,0.099,Gopi
97.29,0.199,0.328,0.31,0.284,0.376,0.32,0.271,0.33,0.623,0.292,0.105,0.176,0.194,0.199,0.138,0.134,0.134,0.133,0.124,0.1,Gopi
97.37,0.199,0.329,0.311,0.283,0.378,0.321,0.27,0.332,0.628,0.298,0.104,0.176,0.197,0.199,0.137,0.133,0.135,0.136,0.127,0.101,Gopi
97.42,0.2,0.331,0.313,0.283,0.377,0.321,0.271,0.329,0.625,0.297,0.105,0.177,0.198,0.2,0.137,0.133,0.135,0.136,0.126,0.101,Gopi
97.33,0.2,0.329,0.312,0.283,0.378,0.322,0.272,0.332,0.624,0.296,0.107,0.176,0.195,0.2,0.137,0.133,0.133,0.133,0.124,0.1,Gopi
97.42,0.2,0.331,0.315,0.282,0.38,0.322,0.272,0.33,0.627,0.297,0.107,0.176,0.195,0.2,0.138,0.134,0.135,0.137,0.126,0.101,Gopi
97.38,0.199,0.328,0.311,0.281,0.378,0.322,0.271,0.332,0.624,0.295,0.107,0.176,0.195,0.199,0.137,0.133,0.134,0.134,0.126,0.1,Gopi
97.55,0.202,0.333,0.317,0.284,0.382,0.325,0.273,0.328,0.622,0.297,0.108,0.179,0.198,0.202,0.138,0.136,0.137,0.138,0.128,0.102,Gopi
97.42,0.199,0.329,0.312,0.282,0.379,0.321,0.274,0.329,0.617,0.29,0.105,0.176,0.195,0.199,0.138,0.134,0.134,0.135,0.126,0.101,Gopi
97.51,0.2,0.332,0.317,0.287,0.383,0.325,0.274,0.327,0.628,0.3,0.109,0.176,0.194,0.2,0.138,0.134,0.136,0.138,0.126,0.101,Gopi
97.43,0.199,0.329,0.312,0.284,0.378,0.322,0.274,0.328,0.612,0.285,0.106,0.178,0.198,0.199,0.138,0.133,0.134,0.134,0.126,0.101,Gopi
97.43,0.199,0.33,0.313,0.284,0.379,0.322,0.273,0.332,0.621,0.291,0.106,0.177,0.198,0.199,0.137,0.134,0.134,0.134,0.126,0.101,Gopi
97.46,0.199,0.328,0.311,0.282,0.378,0.322,0.271,0.332,0.63,0.299,0.108,0.178,0.197,0.199,0.138,0.134,0.134,0.134,0.126,0.101,Gopi
97.52,0.199,0.33,0.313,0.282,0.377,0.322,0.272,0.326,0.619,0.292,0.108,0.177,0.196,0.199,0.137,0.134,0.135,0.138,0.128,0.102,Gopi
97.4,0.201,0.331,0.314,0.284,0.379,0.322,0.273,0.327,0.617,0.291,0.104,0.178,0.199,0.201,0.138,0.134,0.134,0.136,0.126,0.101,Gopi
97.4,0.201,0.329,0.312,0.285,0.377,0.318,0.269,0.33,0.627,0.299,0.104,0.177,0.198,0.201,0.137,0.133,0.134,0.135,0.126,0.101,Gopi
97.4,0.202,0.33,0.315,0.285,0.381,0.324,0.274,0.328,0.627,0.3,0.106,0.178,0.198,0.202,0.138,0.134,0.135,0.137,0.127,0.101,Gopi
97.37,0.2,0.328,0.311,0.285,0.374,0.317,0.269,0.332,0.626,0.298,0.104,0.177,0.198,0.2,0.137,0.133,0.133,0.134,0.125,0.101,Gopi
97.33,0.198,0.326,0.309,0.285,0.37,0.315,0.266,0.326,0.619,0.292,0.101,0.177,0.196,0.198,0.135,0.131,0.132,0.134,0.124,0.1,Gopi
97.28,0.198,0.327,0.311,0.285,0.371,0.315,0.264,0.326,0.621,0.296,0.103,0.175,0.194,0.198,0.135,0.133,0.133,0.134,0.124,0.1,Gopi
97.38,0.203,0.329,0.314,0.285,0.375,0.318,0.272,0.333,0.623,0.291,0.104,0.18,0.198,0.203,0.137,0.133,0.133,0.134,0.125,0.101,Gopi
97.47,0.2,0.327,0.311,0.283,0.376,0.319,0.269,0.328,0.623,0.295,0.104,0.176,0.196,0.2,0.137,0.133,0.134,0.134,0.126,0.101,Gopi
97.48,0.2,0.327,0.311,0.284,0.375,0.317,0.269,0.325,0.624,0.301,0.105,0.176,0.195,0.2,0.137,0.133,0.133,0.135,0.126,0.101,Gopi
97.44,0.2,0.328,0.311,0.283,0.376,0.319,0.271,0.325,0.62,0.296,0.105,0.177,0.196,0.2,0.137,0.133,0.133,0.135,0.127,0.101,Gopi
97.42,0.202,0.328,0.311,0.284,0.376,0.317,0.27,0.327,0.614,0.289,0.106,0.18,0.199,0.202,0.137,0.133,0.134,0.135,0.126,0.102,Gopi
97.38,0.203,0.327,0.311,0.284,0.373,0.316,0.267,0.333,0.634,0.302,0.105,0.181,0.199,0.203,0.137,0.133,0.134,0.135,0.126,0.102,Gopi
97.41,0.2,0.324,0.308,0.278,0.372,0.316,0.268,0.33,0.617,0.287,0.106,0.179,0.199,0.2,0.135,0.132,0.133,0.134,0.126,0.101,Gopi
97.47,0.2,0.329,0.312,0.282,0.377,0.321,0.27,0.327,0.618,0.291,0.106,0.178,0.198,0.2,0.136,0.133,0.134,0.134,0.126,0.101,Gopi
97.56,0.2,0.333,0.316,0.286,0.378,0.322,0.271,0.33,0.624,0.295,0.107,0.178,0.198,0.2,0.137,0.134,0.135,0.137,0.127,0.102,Gopi
97.51,0.2,0.329,0.314,0.285,0.38,0.323,0.274,0.33,0.622,0.293,0.107,0.178,0.198,0.2,0.138,0.134,0.134,0.136,0.126,0.101,Gopi
97.59,0.198,0.329,0.313,0.286,0.378,0.321,0.273,0.327,0.614,0.289,0.107,0.177,0.194,0.198,0.138,0.134,0.134,0.138,0.127,0.101,Gopi
97.58,0.203,0.333,0.319,0.287,0.38,0.323,0.276,0.33,0.626,0.295,0.109,0.18,0.196,0.203,0.138,0.134,0.136,0.138,0.128,0.102,Gopi
97.49,0.198,0.327,0.31,0.283,0.375,0.317,0.269,0.33,0.626,0.298,0.106,0.176,0.194,0.198,0.137,0.133,0.134,0.133,0.126,0.1,Gopi
97.49,0.2,0.331,0.315,0.286,0.38,0.322,0.275,0.332,0.626,0.296,0.107,0.177,0.195,0.2,0.138,0.134,0.134,0.136,0.126,0.101,Gopi
97.47,0.203,0.333,0.318,0.288,0.382,0.324,0.276,0.332,0.627,0.296,0.105,0.178,0.197,0.203,0.138,0.134,0.135,0.138,0.127,0.101,Gopi
97.46,0.197,0.327,0.311,0.284,0.377,0.321,0.273,0.322,0.611,0.289,0.107,0.172,0.193,0.197,0.137,0.133,0.133,0.133,0.124,0.1,Gopi
97.39,0.198,0.327,0.31,0.284,0.376,0.318,0.269,0.328,0.63,0.303,0.106,0.174,0.192,0.198,0.137,0.133,0.133,0.133,0.124,0.1,Gopi
97.47,0.2,0.332,0.316,0.291,0.38,0.321,0.275,0.331,0.624,0.296,0.107,0.175,0.195,0.2,0.138,0.134,0.134,0.137,0.126,0.101,Gopi
97.51,0.204,0.332,0.315,0.29,0.383,0.324,0.277,0.336,0.635,0.299,0.106,0.178,0.198,0.204,0.138,0.134,0.135,0.138,0.126,0.101,Gopi
97.51,0.203,0.331,0.315,0.29,0.383,0.324,0.279,0.332,0.62,0.289,0.106,0.178,0.199,0.203,0.138,0.134,0.135,0.138,0.126,0.101,Gopi
97.53,0.201,0.328,0.313,0.286,0.38,0.321,0.273,0.331,0.622,0.294,0.106,0.178,0.199,0.201,0.138,0.134,0.134,0.136,0.126,0.101,Gopi
97.61,0.201,0.33,0.312,0.284,0.378,0.322,0.277,0.33,0.619,0.289,0.106,0.178,0.199,0.201,0.138,0.134,0.134,0.137,0.126,0.101,Gopi
97.62,0.202,0.333,0.318,0.289,0.384,0.325,0.275,0.332,0.63,0.297,0.109,0.179,0.197,0.202,0.138,0.134,0.136,0.138,0.127,0.101,Gopi
97.68,0.201,0.334,0.318,0.287,0.386,0.328,0.28,0.336,0.63,0.296,0.108,0.18,0.198,0.201,0.138,0.134,0.136,0.138,0.128,0.102,Gopi
97.62,0.203,0.334,0.318,0.289,0.382,0.324,0.279,0.334,0.629,0.296,0.109,0.18,0.199,0.203,0.138,0.135,0.136,0.138,0.128,0.103,Gopi
97.55,0.202,0.33,0.312,0.286,0.379,0.322,0.273,0.332,0.628,0.295,0.105,0.178,0.197,0.202,0.138,0.134,0.134,0.137,0.126,0.101,Gopi
97.59,0.201,0.333,0.318,0.289,0.386,0.326,0.279,0.335,0.624,0.291,0.109,0.18,0.198,0.201,0.138,0.134,0.136,0.138,0.128,0.101,Gopi
97.58,0.204,0.332,0.316,0.29,0.386,0.326,0.279,0.333,0.626,0.294,0.108,0.179,0.2,0.204,0.138,0.134,0.135,0.138,0.126,0.101,Gopi
97.55,0.202,0.33,0.313,0.286,0.38,0.323,0.275,0.33,0.624,0.295,0.107,0.178,0.198,0.202,0.138,0.134,0.135,0.136,0.126,0.101,Gopi
97.54,0.202,0.333,0.318,0.291,0.384,0.325,0.277,0.333,0.627,0.294,0.109,0.179,0.198,0.202,0.138,0.134,0.134,0.138,0.126,0.101,Gopi
97.64,0.204,0.333,0.318,0.29,0.384,0.327,0.276,0.333,0.633,0.301,0.108,0.182,0.201,0.204,0.138,0.135,0.137,0.138,0.128,0.103,Gopi
97.57,0.2,0.33,0.314,0.287,0.38,0.323,0.271,0.332,0.628,0.296,0.106,0.178,0.198,0.2,0.138,0.134,0.134,0.137,0.126,0.101,Gopi
97.64,0.203,0.334,0.319,0.292,0.384,0.326,0.275,0.332,0.635,0.304,0.106,0.18,0.199,0.203,0.138,0.134,0.136,0.138,0.127,0.101,Gopi
97.55,0.2,0.33,0.314,0.287,0.38,0.321,0.273,0.332,0.63,0.298,0.106,0.178,0.197,0.2,0.138,0.134,0.134,0.138,0.126,0.101,Gopi
97.65,0.198,0.331,0.315,0.291,0.381,0.324,0.275,0.33,0.627,0.298,0.106,0.176,0.195,0.198,0.138,0.134,0.135,0.138,0.126,0.101,Gopi
97.63,0.199,0.332,0.316,0.29,0.383,0.324,0.276,0.329,0.624,0.296,0.107,0.176,0.196,0.199,0.138,0.134,0.135,0.138,0.127,0.101,Gopi
97.51,0.199,0.327,0.311,0.285,0.376,0.319,0.274,0.33,0.615,0.288,0.103,0.177,0.198,0.199,0.138,0.133,0.134,0.133,0.126,0.1,Gopi
97.53,0.201,0.329,0.312,0.286,0.381,0.323,0.274,0.331,0.62,0.292,0.105,0.178,0.199,0.201,0.138,0.134,0.134,0.134,0.126,0.101,Gopi
97.66,0.197,0.33,0.313,0.29,0.381,0.322,0.276,0.33,0.616,0.288,0.107,0.178,0.195,0.197,0.138,0.134,0.134,0.135,0.125,0.1,Gopi
97.58,0.198,0.329,0.313,0.288,0.381,0.323,0.276,0.33,0.618,0.289,0.108,0.176,0.196,0.198,0.138,0.134,0.135,0.138,0.126,0.101,Gopi
97.61,0.198,0.329,0.314,0.29,0.381,0.321,0.274,0.332,0.626,0.297,0.108,0.176,0.194,0.198,0.138,0.134,0.134,0.137,0.126,0.101,Gopi
97.71,0.198,0.329,0.313,0.289,0.38,0.322,0.274,0.33,0.623,0.294,0.108,0.178,0.197,0.198,0.138,0.134,0.134,0.138,0.128,0.103,Gopi
97.64,0.202,0.332,0.316,0.287,0.382,0.324,0.275,0.33,0.631,0.301,0.108,0.179,0.197,0.202,0.138,0.134,0.136,0.138,0.127,0.102,Gopi
97.51,0.2,0.329,0.312,0.286,0.378,0.319,0.274,0.332,0.619,0.289,0.106,0.178,0.197,0.2,0.138,0.134,0.134,0.137,0.126,0.101,Gopi
97.56,0.201,0.333,0.318,0.289,0.382,0.324,0.277,0.332,0.621,0.29,0.104,0.179,0.198,0.201,0.138,0.134,0.136,0.138,0.126,0.1,Gopi
97.6,0.2,0.33,0.313,0.287,0.379,0.32,0.27,0.332,0.625,0.296,0.104,0.178,0.198,0.2,0.138,0.134,0.134,0.138,0.126,0.101,Gopi
97.57,0.203,0.332,0.316,0.289,0.382,0.324,0.273,0.332,0.63,0.297,0.108,0.179,0.199,0.203,0.138,0.134,0.136,0.138,0.126,0.1,Gopi
97.56,0.2,0.332,0.316,0.291,0.382,0.325,0.275,0.334,0.631,0.298,0.106,0.179,0.198,0.2,0.138,0.134,0.135,0.138,0.126,0.1,Gopi
97.62,0.2,0.332,0.316,0.291,0.381,0.323,0.274,0.331,0.623,0.294,0.106,0.178,0.199,0.2,0.138,0.134,0.136,0.138,0.126,0.101,Gopi
97.66,0.2,0.333,0.317,0.291,0.381,0.323,0.276,0.33,0.621,0.292,0.104,0.18,0.199,0.2,0.138,0.134,0.136,0.138,0.128,0.102,Gopi
97.66,0.2,0.333,0.317,0.292,0.384,0.325,0.277,0.332,0.621,0.29,0.105,0.178,0.197,0.2,0.138,0.134,0.136,0.138,0.127,0.101,Gopi
97.65,0.203,0.334,0.318,0.293,0.383,0.322,0.28,0.337,0.611,0.279,0.104,0.183,0.202,0.203,0.138,0.134,0.137,0.138,0.128,0.103,Gopi
97.75,0.204,0.337,0.321,0.297,0.385,0.327,0.28,0.335,0.63,0.295,0.108,0.182,0.202,0.204,0.141,0.138,0.138,0.138,0.128,0.104,Gopi
97.65,0.204,0.333,0.317,0.292,0.383,0.324,0.275,0.327,0.626,0.299,0.105,0.182,0.202,0.204,0.139,0.136,0.138,0.138,0.128,0.104,Gopi
97.59,0.204,0.333,0.317,0.291,0.383,0.324,0.276,0.332,0.626,0.297,0.108,0.181,0.2,0.204,0.138,0.134,0.135,0.138,0.127,0.102,Gopi
97.61,0.204,0.333,0.317,0.291,0.384,0.326,0.273,0.333,0.632,0.3,0.105,0.18,0.2,0.204,0.138,0.134,0.136,0.138,0.128,0.101,Gopi
97.6,0.203,0.333,0.318,0.292,0.383,0.323,0.274,0.332,0.627,0.297,0.107,0.18,0.2,0.203,0.138,0.135,0.137,0.138,0.127,0.102,Gopi
97.63,0.203,0.333,0.317,0.291,0.383,0.324,0.276,0.331,0.622,0.292,0.105,0.179,0.201,0.203,0.139,0.135,0.137,0.138,0.128,0.101,Gopi
97.66,0.202,0.338,0.321,0.297,0.384,0.325,0.278,0.332,0.619,0.29,0.106,0.18,0.2,0.202,0.14,0.137,0.138,0.138,0.128,0.102,Gopi
97.57,0.2,0.333,0.317,0.292,0.382,0.322,0.277,0.332,0.622,0.291,0.105,0.178,0.198,0.2,0.138,0.134,0.136,0.138,0.127,0.101,Gopi
97.56,0.204,0.334,0.318,0.292,0.382,0.324,0.277,0.336,0.62,0.286,0.104,0.181,0.2,0.204,0.138,0.134,0.136,0.138,0.127,0.102,Gopi
97.56,0.203,0.333,0.318,0.289,0.382,0.323,0.273,0.332,0.629,0.297,0.105,0.179,0.2,0.203,0.138,0.134,0.137,0.138,0.127,0.101,Gopi
97.6,0.203,0.334,0.319,0.294,0.384,0.325,0.274,0.334,0.633,0.299,0.104,0.18,0.2,0.203,0.139,0.135,0.137,0.138,0.128,0.102,Gopi
97.5,0.199,0.328,0.314,0.288,0.376,0.319,0.27,0.328,0.618,0.292,0.104,0.177,0.198,0.199,0.138,0.134,0.134,0.137,0.126,0.101,Gopi
97.5,0.2,0.332,0.316,0.292,0.38,0.321,0.27,0.332,0.632,0.301,0.103,0.177,0.197,0.2,0.138,0.134,0.136,0.138,0.127,0.102,Gopi
97.51,0.201,0.328,0.314,0.291,0.38,0.321,0.274,0.332,0.621,0.291,0.102,0.178,0.197,0.201,0.138,0.134,0.134,0.138,0.126,0.101,Gopi
97.48,0.201,0.33,0.314,0.289,0.383,0.322,0.274,0.334,0.624,0.29,0.103,0.179,0.199,0.201,0.138,0.134,0.136,0.138,0.126,0.1,Gopi
97.55,0.198,0.328,0.312,0.288,0.378,0.32,0.27,0.328,0.623,0.295,0.104,0.178,0.196,0.198,0.138,0.134,0.134,0.138,0.126,0.101,Gopi
97.49,0.204,0.332,0.317,0.29,0.381,0.323,0.271,0.332,0.634,0.302,0.104,0.178,0.198,0.204,0.138,0.134,0.135,0.138,0.126,0.1,Gopi
97.53,0.204,0.333,0.317,0.289,0.382,0.324,0.274,0.332,0.631,0.299,0.106,0.182,0.202,0.204,0.138,0.134,0.135,0.138,0.128,0.102,Gopi
97.55,0.204,0.333,0.318,0.291,0.382,0.324,0.274,0.332,0.63,0.3,0.105,0.18,0.199,0.204,0.138,0.134,0.135,0.138,0.127,0.102,Gopi
97.55,0.204,0.335,0.319,0.292,0.383,0.324,0.276,0.334,0.63,0.297,0.105,0.181,0.2,0.204,0.138,0.134,0.136,0.138,0.127,0.102,Gopi
97.67,0.203,0.334,0.318,0.292,0.384,0.325,0.276,0.333,0.639,0.307,0.107,0.18,0.199,0.203,0.138,0.134,0.137,0.138,0.128,0.104,Gopi
97.56,0.204,0.335,0.319,0.292,0.384,0.325,0.276,0.338,0.634,0.299,0.107,0.182,0.201,0.204,0.138,0.134,0.136,0.138,0.128,0.102,Gopi
97.63,0.204,0.335,0.318,0.292,0.385,0.326,0.28,0.333,0.624,0.294,0.106,0.181,0.202,0.204,0.139,0.135,0.137,0.138,0.128,0.103,Gopi
97.54,0.207,0.333,0.315,0.292,0.382,0.325,0.276,0.333,0.631,0.298,0.107,0.18,0.203,0.207,0.14,0.136,0.138,0.138,0.128,0.103,Gopi
97.59,0.204,0.332,0.318,0.293,0.382,0.325,0.278,0.332,0.624,0.293,0.105,0.182,0.203,0.204,0.14,0.135,0.136,0.138,0.127,0.101,Gopi
97.67,0.204,0.334,0.319,0.296,0.386,0.327,0.279,0.333,0.627,0.294,0.105,0.182,0.203,0.204,0.141,0.139,0.138,0.138,0.128,0.103,Gopi
97.7,0.205,0.337,0.32,0.296,0.385,0.327,0.277,0.333,0.626,0.292,0.106,0.182,0.204,0.205,0.142,0.14,0.139,0.139,0.128,0.103,Gopi
97.67,0.203,0.333,0.317,0.292,0.384,0.325,0.279,0.334,0.616,0.284,0.104,0.181,0.2,0.203,0.139,0.137,0.138,0.138,0.128,0.104,Gopi
97.62,0.208,0.336,0.319,0.292,0.384,0.326,0.277,0.338,0.63,0.293,0.106,0.185,0.206,0.208,0.141,0.139,0.139,0.138,0.129,0.105,Gopi
97.51,0.204,0.333,0.315,0.291,0.382,0.322,0.278,0.332,0.619,0.286,0.104,0.181,0.201,0.204,0.138,0.134,0.136,0.138,0.127,0.102,Gopi
97.52,0.203,0.333,0.317,0.292,0.383,0.322,0.274,0.335,0.624,0.289,0.105,0.182,0.201,0.203,0.138,0.134,0.136,0.138,0.128,0.102,Gopi
97.56,0.203,0.333,0.316,0.292,0.383,0.323,0.276,0.332,0.621,0.29,0.104,0.18,0.201,0.203,0.139,0.134,0.136,0.138,0.128,0.102,Gopi
97.51,0.204,0.333,0.316,0.292,0.382,0.324,0.276,0.333,0.62,0.289,0.103,0.181,0.202,0.204,0.139,0.136,0.137,0.138,0.128,0.102,Gopi
97.5,0.2,0.329,0.313,0.287,0.378,0.321,0.274,0.327,0.617,0.291,0.103,0.178,0.197,0.2,0.138,0.134,0.135,0.138,0.126,0.1,Gopi
97.49,0.203,0.332,0.315,0.29,0.383,0.324,0.277,0.331,0.615,0.285,0.104,0.179,0.201,0.203,0.138,0.134,0.136,0.138,0.127,0.101,Gopi
97.52,0.205,0.336,0.319,0.293,0.384,0.326,0.279,0.335,0.624,0.288,0.104,0.183,0.204,0.205,0.14,0.136,0.138,0.138,0.128,0.103,Gopi
97.49,0.204,0.33,0.315,0.289,0.383,0.322,0.277,0.332,0.62,0.287,0.103,0.182,0.202,0.204,0.138,0.134,0.136,0.138,0.128,0.102,Gopi
97.53,0.202,0.329,0.314,0.289,0.378,0.319,0.27,0.332,0.626,0.294,0.105,0.177,0.197,0.202,0.138,0.134,0.136,0.138,0.126,0.1,Gopi
97.52,0.203,0.333,0.317,0.292,0.381,0.321,0.276,0.333,0.622,0.288,0.104,0.18,0.201,0.203,0.138,0.134,0.136,0.138,0.127,0.102,Gopi
97.46,0.199,0.329,0.312,0.289,0.378,0.32,0.27,0.328,0.619,0.292,0.101,0.179,0.198,0.199,0.138,0.134,0.135,0.138,0.126,0.1,Gopi
97.45,0.199,0.33,0.312,0.288,0.378,0.32,0.272,0.329,0.622,0.295,0.104,0.177,0.196,0.199,0.138,0.134,0.136,0.138,0.126,0.1,Gopi
97.43,0.203,0.33,0.314,0.289,0.378,0.321,0.273,0.327,0.617,0.288,0.103,0.178,0.199,0.203,0.138,0.134,0.136,0.138,0.126,0.1,Gopi
97.34,0.204,0.329,0.314,0.289,0.378,0.321,0.27,0.332,0.624,0.294,0.103,0.178,0.198,0.204,0.138,0.134,0.135,0.137,0.126,0.1,Gopi
97.45,0.204,0.334,0.317,0.292,0.384,0.325,0.272,0.335,0.634,0.3,0.105,0.181,0.202,0.204,0.141,0.137,0.136,0.138,0.128,0.101,Gopi
97.48,0.202,0.329,0.314,0.291,0.378,0.321,0.272,0.331,0.622,0.292,0.104,0.179,0.2,0.202,0.138,0.134,0.136,0.138,0.126,0.102,Gopi
97.46,0.205,0.328,0.314,0.29,0.378,0.321,0.27,0.327,0.62,0.292,0.105,0.182,0.202,0.205,0.138,0.134,0.136,0.138,0.128,0.103,Gopi
97.52,0.205,0.334,0.317,0.295,0.384,0.324,0.272,0.333,0.635,0.303,0.104,0.183,0.204,0.205,0.141,0.139,0.139,0.139,0.128,0.103,Gopi
97.62,0.209,0.335,0.318,0.296,0.384,0.326,0.273,0.338,0.638,0.304,0.104,0.183,0.205,0.209,0.143,0.14,0.14,0.14,0.13,0.106,Gopi
97.48,0.209,0.335,0.317,0.293,0.383,0.324,0.276,0.338,0.641,0.303,0.106,0.185,0.205,0.209,0.141,0.139,0.139,0.138,0.128,0.104,Gopi
97.57,0.209,0.334,0.317,0.295,0.384,0.326,0.274,0.337,0.642,0.305,0.104,0.184,0.206,0.209,0.141,0.139,0.139,0.138,0.128,0.104,Gopi
97.57,0.207,0.335,0.317,0.294,0.384,0.327,0.277,0.333,0.628,0.297,0.107,0.182,0.204,0.207,0.141,0.14,0.139,0.139,0.129,0.104,Gopi
97.5,0.209,0.334,0.316,0.291,0.381,0.321,0.272,0.337,0.638,0.304,0.105,0.182,0.204,0.209,0.139,0.137,0.138,0.138,0.128,0.104,Gopi
97.39,0.205,0.329,0.313,0.291,0.375,0.317,0.268,0.335,0.638,0.304,0.104,0.178,0.2,0.205,0.138,0.135,0.137,0.138,0.128,0.102,Gopi
97.46,0.207,0.333,0.318,0.294,0.38,0.321,0.273,0.335,0.634,0.299,0.105,0.18,0.203,0.207,0.14,0.139,0.139,0.138,0.129,0.105,Gopi
97.27,0.209,0.331,0.314,0.29,0.376,0.319,0.271,0.333,0.633,0.3,0.103,0.181,0.205,0.209,0.139,0.136,0.136,0.138,0.126,0.102,Gopi
97.48,0.208,0.336,0.319,0.297,0.38,0.322,0.272,0.336,0.638,0.305,0.104,0.183,0.206,0.208,0.142,0.138,0.139,0.14,0.129,0.105,Gopi
97.45,0.212,0.335,0.32,0.296,0.382,0.323,0.277,0.333,0.632,0.3,0.104,0.186,0.209,0.212,0.142,0.14,0.139,0.139,0.129,0.105,Gopi
97.53,0.212,0.339,0.322,0.3,0.383,0.325,0.277,0.333,0.635,0.304,0.106,0.187,0.209,0.212,0.143,0.14,0.14,0.142,0.132,0.106,Gopi
97.27,0.213,0.332,0.317,0.296,0.379,0.322,0.27,0.335,0.641,0.307,0.104,0.186,0.21,0.213,0.141,0.138,0.138,0.138,0.128,0.105,Gopi
97.31,0.212,0.334,0.319,0.294,0.38,0.321,0.271,0.34,0.649,0.31,0.105,0.186,0.209,0.212,0.141,0.137,0.138,0.138,0.128,0.105,Gopi
97.37,0.211,0.335,0.318,0.295,0.376,0.318,0.271,0.336,0.637,0.302,0.104,0.187,0.208,0.211,0.141,0.138,0.138,0.14,0.13,0.106,Gopi
97.39,0.212,0.331,0.315,0.29,0.379,0.322,0.272,0.336,0.636,0.301,0.106,0.186,0.21,0.212,0.14,0.136,0.138,0.138,0.128,0.106,Gopi
97.31,0.209,0.331,0.314,0.29,0.375,0.318,0.268,0.334,0.631,0.299,0.103,0.183,0.206,0.209,0.139,0.134,0.135,0.137,0.128,0.105,Gopi
97.37,0.208,0.335,0.32,0.296,0.38,0.321,0.268,0.336,0.647,0.312,0.106,0.181,0.204,0.208,0.14,0.138,0.139,0.138,0.129,0.105,Gopi
97.29,0.208,0.332,0.316,0.29,0.378,0.321,0.268,0.33,0.635,0.305,0.107,0.183,0.206,0.208,0.14,0.136,0.137,0.138,0.128,0.104,Gopi
97.35,0.208,0.337,0.321,0.295,0.383,0.324,0.272,0.336,0.641,0.305,0.106,0.183,0.204,0.208,0.142,0.138,0.139,0.14,0.13,0.105,Gopi
97.25,0.209,0.333,0.317,0.291,0.381,0.324,0.273,0.333,0.635,0.303,0.105,0.184,0.206,0.209,0.14,0.136,0.137,0.138,0.128,0.105,Gopi
97.17,0.207,0.328,0.313,0.291,0.378,0.321,0.267,0.334,0.643,0.31,0.104,0.18,0.204,0.207,0.137,0.134,0.134,0.136,0.125,0.101,Gopi
97.34,0.207,0.333,0.317,0.295,0.38,0.323,0.27,0.333,0.641,0.309,0.107,0.181,0.201,0.207,0.14,0.135,0.136,0.137,0.128,0.104,Gopi
97.23,0.207,0.33,0.314,0.29,0.376,0.32,0.267,0.333,0.645,0.312,0.103,0.181,0.202,0.207,0.137,0.133,0.133,0.136,0.125,0.101,Gopi
97.08,0.207,0.327,0.312,0.286,0.375,0.318,0.264,0.336,0.643,0.309,0.105,0.182,0.202,0.207,0.137,0.133,0.133,0.135,0.124,0.101,Gopi
97.15,0.205,0.331,0.315,0.29,0.379,0.319,0.266,0.342,0.653,0.314,0.104,0.182,0.202,0.205,0.137,0.133,0.134,0.136,0.125,0.101,Gopi
97.16,0.206,0.328,0.312,0.29,0.375,0.318,0.266,0.337,0.645,0.308,0.103,0.183,0.203,0.206,0.137,0.133,0.133,0.136,0.124,0.101,Gopi
97.17,0.206,0.328,0.313,0.29,0.378,0.321,0.269,0.336,0.645,0.309,0.106,0.182,0.203,0.206,0.138,0.134,0.134,0.136,0.125,0.101,Gopi
97.23,0.205,0.327,0.311,0.287,0.374,0.316,0.268,0.334,0.635,0.302,0.104,0.181,0.2,0.205,0.137,0.134,0.134,0.136,0.126,0.101,Gopi
97.21,0.205,0.328,0.313,0.292,0.375,0.319,0.267,0.333,0.635,0.305,0.106,0.181,0.199,0.205,0.138,0.134,0.135,0.136,0.126,0.101,Gopi
97.28,0.206,0.331,0.315,0.295,0.379,0.322,0.269,0.332,0.631,0.3,0.105,0.182,0.203,0.206,0.138,0.135,0.135,0.136,0.127,0.101,Gopi
